
6285107. Done: 8.0, Runtime: 1.63518524170
6285108. Done: 8.0, Runtime: 8.40179443359
6285113. Done: 8.0, Runtime: 1.69403076172
6285115. Done: 8.0, Runtime: 9.85984802246
6285117. Done: 8.0, Runtime: 9.69985198975
6285118. Done: 8.0, Runtime: 10.0385131836
6285119. Done: 8.0, Runtime: 10.7756195068
6285120. Done: 8.0, Runtime: 11.8203887939
6285130. Done: 8.0, Runtime: 12.1969451904
6285131. Done: 8.0, Runtime: 12.9977188110
6285947. Done: 8.0, Runtime: 21.9511184692
6285949. Done: 8.0, Runtime: 19.9954986572
6285952. Done: 8.0, Runtime: 16.0387954712
6285953. Done: 8.0, Runtime: 10.8069381714
6285954. Done: 8.0, Runtime: 10.8530731201
6285955. Done: 8.0, Runtime: 11.6622085571
6285956. Done: 8.0, Runtime: 10.3930358887
6285957. Done: 9.0, Runtime: 11.9879837036
6285970. Done: 9.0, Runtime: 16.8180694580
6285973. Done: 9.0, Runtime: 13.5984802246
6285975. Done: 9.0, Runtime: 0.081787109375
6286036. Done: 9.0, Runtime: 10.1159591675
6286070. Done: 9.0, Runtime: 10.5842666626
6286082. Done: 9.0, Runtime: 8.85048675537
6286094. Done: 9.0, Runtime: 10.1337203979
6286106. Done: 9.0, Runtime: 9.04891204834
6286488. Done: 9.0, Runtime: 10.8694305420
6286500. Done: 9.0, Runtime: 11.7768020630
6286789. Done: 9.0, Runtime: 22.8409423828
6286801. Done: 9.0, Runtime: 17.7671279907
6287563. Done: 9.0, Runtime: 9.76721954346
6287598. Done: 9.0, Runtime: 13.4568481445
6287610. Done: 9.0, Runtime: 15.1008605957
6287622. Done: 9.0, Runtime: 14.4077224731
6287646. Done: 9.0, Runtime: 15.9117584229
6287838. Done: 9.0, Runtime: 0.0458755493164
6288223. Done: 9.0, Runtime: 39.4260940552
6288261. Done: 9.0, Runtime: 23.5673522949
6288297. Done: 9.0, Runtime: 20.7071380615
6288309. Done: 9.0, Runtime: 30.5836715698
6288321. Done: 9.0, Runtime: 25.6011505127
6288333. Done: 9.0, Runtime: 33.5103836060
6288345. Done: 9.0, Runtime: 27.3101043701
6288357. Done: 9.0, Runtime: 31.0119934082
6288602. Done: 9.0, Runtime: 14.8786315918
6288614. Done: 9.0, Runtime: 14.7456893921
6288626. Done: 9.0, Runtime: 14.0177154541
6288638. Done: 9.0, Runtime: 14.8748245239
6288650. Done: 9.0, Runtime: 15.1877517700
6288662. Done: 9.0, Runtime: 19.4976882935
6288674. Done: 9.0, Runtime: 15.3155670166
6288686. Done: 10.0, Runtime: 14.7851409912
6288698. Done: 10.0, Runtime: 13.7645187378
6288710. Done: 10.0, Runtime: 18.1874618530
6288722. Done: 10.0, Runtime: 15.0240554810
6288734. Done: 10.0, Runtime: 21.9291076660
6288831. Done: 10.0, Runtime: 31.5088119507
6288843. Done: 10.0, Runtime: 30.6054840088
6288855. Done: 10.0, Runtime: 38.1759719849
6288867. Done: 10.0, Runtime: 27.8349685669
6288879. Done: 10.0, Runtime: 29.3437347412
6289248. Done: 10.0, Runtime: 30.2698059082
6289260. Done: 10.0, Runtime: 15.3706359863
6289283. Done: 10.0, Runtime: 2.98960876465
6289307. Done: 10.0, Runtime: 33.0193405151
6289319. Done: 10.0, Runtime: 11.7482986450
6289353. Done: 10.0, Runtime: 12.7859420776
6289365. Done: 10.0, Runtime: 0.908264160156
6289377. Done: 10.0, Runtime: 61.2349777222
6289389. Done: 10.0, Runtime: 53.2092971802
6289413. Done: 10.0, Runtime: 60.6945266724
6289425. Done: 10.0, Runtime: 53.9887313843
6289437. Done: 10.0, Runtime: 49.9743423462
6289449. Done: 10.0, Runtime: 63.0973739624
6289499. Done: 10.0, Runtime: 12.9617919922
6289648. Done: 10.0, Runtime: 1.74826812744
6289653. Done: 10.0, Runtime: 2.28307342529
6289672. Done: 10.0, Runtime: 21.6267013550
6289674. Done: 10.0, Runtime: 20.9039611816
6289675. Done: 10.0, Runtime: 24.7563171387
6289676. Done: 10.0, Runtime: 33.2583541870
6289677. Done: 10.0, Runtime: 22.7558059692
6289678. Done: 10.0, Runtime: 23.4101104736
6289689. Done: 10.0, Runtime: 29.8640518188
6289701. Done: 10.0, Runtime: 25.1699447632
6289713. Done: 11.0, Runtime: 12.2431488037
6289725. Done: 11.0, Runtime: 12.3272857666
6289737. Done: 11.0, Runtime: 33.5649185181
6289857. Done: 11.0, Runtime: 29.1763763428
6289869. Done: 11.0, Runtime: 20.0591201782
6289881. Done: 11.0, Runtime: 20.4607238770
6289893. Done: 11.0, Runtime: 20.7693557739
6289905. Done: 11.0, Runtime: 0.0398864746094
6289917. Done: 11.0, Runtime: 24.8127365112
6289953. Done: 11.0, Runtime: 28.6338577271
6289965. Done: 11.0, Runtime: 19.1774444580
6289977. Done: 11.0, Runtime: 21.4918212891
6290115. Done: 11.0, Runtime: 49.7617568970
6290127. Done: 11.0, Runtime: 21.8232040405
6290163. Done: 11.0, Runtime: 40.0483474731
6290175. Done: 11.0, Runtime: 54.3024902344
6290269. Done: 11.0, Runtime: 21.5887985229
6290373. Done: 11.0, Runtime: 0.0349044799805
6290455. Done: 11.0, Runtime: 0.0329055786133
6290508. Done: 11.0, Runtime: 0.0329055786133
6290532. Done: 11.0, Runtime: 0.801933288574
6290568. Done: 11.0, Runtime: 0.0339202880859
6290698. Done: 11.0, Runtime: 1.86512756348
6290714. Done: 11.0, Runtime: 0.0329055786133
6290821. Done: 11.0, Runtime: 18.6195297241
6290833. Done: 11.0, Runtime: 18.9112854004
6290845. Done: 11.0, Runtime: 27.5144729614
6290857. Done: 11.0, Runtime: 18.1540374756
6290972. Done: 11.0, Runtime: 21.1134872437
6291008. Done: 11.0, Runtime: 0.839805603027
6291181. Done: 11.0, Runtime: 16.7517395020
6291217. Done: 11.0, Runtime: 13.5979919434
6291245. Done: 11.0, Runtime: 0.0370941162109
6291271. Done: 11.0, Runtime: 24.8595275879
6291283. Done: 12.0, Runtime: 17.9772415161
6291382. Done: 12.0, Runtime: 0.647857666016
6291394. Done: 12.0, Runtime: 0.0720443725586
6291453. Done: 12.0, Runtime: 0.615028381348
6291696. Done: 12.0, Runtime: 13.4144363403
6291718. Done: 12.0, Runtime: 12.8464355469
6291729. Done: 12.0, Runtime: 17.3241500854
6291741. Done: 12.0, Runtime: 19.0159072876
6291753. Done: 12.0, Runtime: 29.6408309937
6291765. Done: 12.0, Runtime: 18.4886932373
6291777. Done: 12.0, Runtime: 0.633613586426
6291789. Done: 12.0, Runtime: 17.1858825684
6291801. Done: 12.0, Runtime: 0.628211975098
6291813. Done: 12.0, Runtime: 17.4160003662
6291888. Done: 12.0, Runtime: 0.0279159545898
6292533. Done: 12.0, Runtime: 27.5836944580
6292557. Done: 12.0, Runtime: 25.4121627808
6292639. Done: 12.0, Runtime: 24.9756774902
6292651. Done: 12.0, Runtime: 20.1955718994
6292666. Done: 12.0, Runtime: 22.3644409180
6292681. Done: 12.0, Runtime: 27.5045928955
6292693. Done: 12.0, Runtime: 18.6856079102
6292705. Done: 12.0, Runtime: 18.0444183350
6292717. Done: 12.0, Runtime: 19.4842147827
6292729. Done: 12.0, Runtime: 27.4253768921
6292999. Done: 12.0, Runtime: 39.4617767334
6294293. Done: 12.0, Runtime: 27.4475021362
6294328. Done: 12.0, Runtime: 37.3609466553
6294374. Done: 12.0, Runtime: 29.8072738647
6294408. Done: 12.0, Runtime: 0.919555664063
6294450. Done: 12.0, Runtime: 1.06700897217
6294473. Done: 12.0, Runtime: 38.4613952637
6294497. Done: 12.0, Runtime: 30.8486404419
6294501. Done: 12.0, Runtime: 23.0610580444
6294559. Done: 12.0, Runtime: 22.2755050659
6294571. Done: 13.0, Runtime: 0.0529174804688
6294583. Done: 13.0, Runtime: 5.61799621582
6294595. Done: 13.0, Runtime: 5.59929656982
6294895. Done: 13.0, Runtime: 60.6130142212
6294906. Done: 13.0, Runtime: 46.9529953003
6294930. Done: 13.0, Runtime: 61.5335845947
6295344. Done: 13.0, Runtime: 22.7375640869
6295348. Done: 13.0, Runtime: 21.7134704590
6295360. Done: 13.0, Runtime: 30.4056167603
6295487. Done: 13.0, Runtime: 27.5313873291
6295536. Done: 13.0, Runtime: 15.3501815796
6295548. Done: 13.0, Runtime: 14.5268096924
6295628. Done: 13.0, Runtime: 23.7604370117
